code,name,orgId
002036,联创电子,gssz0002036
002037,保利联合,gssz0002037
002038,双鹭药业,gssz0002038
002039,黔源电力,gssz0002039
002040,南京港,gssz0002040
002041,登海种业,gssz0002041
002042,华孚时尚,gssz0002042
002043,兔宝宝,gssz0002043
002044,美年健康,gssz0002044
002045,国光电器,gssz0002045
002046,国机精工,gssz0002046
002047,宝鹰股份,gssz0002047
002048,宁波华翔,gssz0002048
002049,紫光国微,gssz0002049
002050,三花智控,gssz0002050
002051,中工国际,gssz0002051
002053,云南能投,gssz0002053
002054,德美化工,9900000062
002055,得润电子,9900000123
002056,横店东磁,9900000141
002057,中钢天源,9900000181
002058,威尔泰,9900000201
002059,云南旅游,9900000241
002060,粤水电,9900000281
002061,浙江交科,9900000341
002062,宏润建设,9900000362
002063,远光软件,9900000382
002064,华峰化学,9900000404
002065,东华软件,9900000405
002066,瑞泰科技,9900000421
002067,景兴纸业,9900000601
002068,黑猫股份,9900000622
002070,众和退,9900000841
002071,长城退,9900000861
002072,凯瑞德,9900000881
002073,软控股份,9900000961
002074,国轩高科,9900001001
002075,沙钢股份,9900001101
002077,大港股份,9900001222
002078,太阳纸业,9900001223
002079,苏州固锝,9900001221
002080,中材科技,9900001282
002081,金螳螂,9900001283
002082,万邦德,9900001284
002083,孚日股份,9900001342
002084,海鸥住工,9900001343
002085,万丰奥威,9900001341
002087,新野纺织,9900001421
002088,鲁阳节能,9900001422
002090,金智科技,9900001461
002091,江苏国泰,9900001462
002092,中泰化学,9900001463
002093,国脉科技,9900001583
002094,青岛金王,9900001581
002095,生意宝,9900001582
002096,南岭民爆,9900001622
002097,山河智能,9900001621
002098,浔兴股份,9900001623
002099,海翔药业,9900001661
002100,天康生物,9900001641
002101,广东鸿图,9900001761
002103,广博股份,9900001821
002104,恒宝股份,9900001841
002105,信隆健康,9900001922
002106,莱宝高科,9900001921
002107,沃华医药,9900002001
002108,沧州明珠,9900002002
002109,兴化股份,9900002009
002110,三钢闽光,9900002010
002111,威海广泰,9900002021
002112,三变科技,9900002121
002114,罗平锌电,9900002161
002115,三维通信,9900002162
002116,中国海诚,9900002183
002117,东港股份,9900002186
002118,紫鑫药业,9900002187
002119,康强电子,9900002188
002120,韵达股份,9900002261
002121,科陆电子,9900002262
002123,梦网科技,9900002422
002124,天邦食品,9900002441
002125,湘潭电化,9900002442
002126,银轮股份,9900002661
002127,南极电商,9900002701
002128,电投能源,9900002704
002129,TCL中环,9900002703
002130,沃尔核材,9900002702
002131,利欧股份,9900002724
002132,恒星科技,9900002723
002133,广宇集团,9900002761
002134,天津普林,9900002821
002135,东南网架,9900002861
002136,安纳达,9900003061
002137,实益达,9900003141
002138,顺络电子,9900003163
002139,拓邦股份,9900003222
002140,东华科技,9900003261
002141,贤丰控股,9900003282
002142,宁波银行,9900003281
002143,印纪退,9900003283
002144,宏达高科,9900003341
002145,中核钛白,9900003342
002146,荣盛发展,9900003361
002147,新光退,9900003362
002148,北纬科技,9900003401
002149,西部材料,9900003403
002150,通润装备,9900003402
002151,北斗星通,9900003421
002152,广电运通,9900003423
002153,石基信息,9900003424
002154,报喜鸟,9900003429
002155,湖南黄金,9900003428
002156,通富微电,9900003427
002157,正邦科技,9900003434
002158,汉钟精机,9900003433
002159,三特索道,9900003435
002160,常铝股份,9900003441
002161,远望谷,9900003442
002162,悦心健康,9900003445
002163,海南发展,9900003444
002164,宁波东力,9900003443
002165,红宝丽,9900003521
002166,莱茵生物,9900003561
002167,东方锆业,9900003562
002168,惠程科技,9900003601
002169,智光电气,9900003602
002170,芭田股份,9900003603
002171,楚江新材,9900003622
002172,澳洋健康,9900003621
002173,创新医疗,9900003664
002174,游族网络,9900003663
002175,东方智造,9900003698
002176,江特电机,9900003697
002178,延华智能,9900003782
002179,中航光电,9900003783
002180,纳思达,9900003822
002181,粤传媒,9900003823
002182,云海金属,9900003827
002183,怡亚通,9900003828
002184,海得控制,9900003861
002185,华天科技,9900003862
002186,全聚德,9900003863
002187,广百股份,9900003881
002188,中天服务,9900003882
002189,中光学,9900003902
002190,成飞集成,9900003903
002191,劲嘉股份,9900003910
002192,融捷股份,9900003921
002193,如意集团,9900003911
002194,武汉凡谷,9900003908
002195,二三四五,9900003909
002196,方正电机,9900003913
002197,证通电子,9900003915
002198,嘉应制药,9900003905
002199,东晶电子,9900003906
002201,正威新材,9900003944
002202,金风科技,9900003947
002203,海亮股份,9900003945
002204,大连重工,9900004001
002205,国统股份,9900004002
002206,海利得,9900004023
002207,准油股份,9900004022
002208,合肥城建,9900003912
002209,达意隆,9900004041
002210,飞马国际,9900004061
002212,天融信,9900004142
002213,大为股份,9900004184
002214,大立科技,9900004201
002215,诺普信,9900004141
002216,三全食品,9900004261
002217,合力泰,9900004262
002218,拓日新能,9900004281
002219,新里程,9900004301
002220,天宝退,9900004302
002221,东华能源,9900004342
002222,福晶科技,9900004361
002223,鱼跃医疗,9900004462
002224,三力士,9900004521
002225,濮耐股份,9900004522
002226,江南化工,9900004543
002227,奥特迅,9900004544
002228,合兴包装,9900004545
002229,鸿博股份,9900004546
002230,科大讯飞,9900004565
002231,奥维通信,9900004566
002232,启明信息,9900004567
002233,塔牌集团,9900004603
002234,民和股份,9900004604
002235,安妮股份,9900004605
002236,大华股份,9900004625
002237,恒邦股份,9900004624
002238,天威视讯,9900004647
002239,奥特佳,9900004648
002240,盛新锂能,9900004687
002241,歌尔股份,9900004688
002242,九阳股份,9900004732
002243,力合科创,9900004731
002244,滨江集团,9900004730
002245,蔚蓝锂芯,9900004790
002246,北化股份,9900004810
002247,聚力文化,9900004830
002248,华东数控,9900004870
002249,大洋电机,9900004896
002250,联化科技,9900004895
002251,步步高,9900004894
002252,上海莱士,9900004910
002253,川大智胜,9900004911
002254,泰和新材,9900004933
002255,海陆重工,9900004932
002256,兆新股份,9900004931
002258,利尔化学,9900004975
002260,德奥退,9900004995
002261,拓维信息,9900005034
002262,恩华药业,9900005035
002263,大东南,9900005061
002264,新华都,9900005062
002265,西仪股份,9900005074
002266,浙富控股,9900005075
002267,陕天然气,9900005096
002268,电科网安,9900005097
002269,美邦服饰,9900005143
002270,华明装备,9900005198
002271,东方雨虹,9900005238
002272,川润股份,9900005281
002273,水晶光电,9900005282
002274,华昌化工,9900005320
002275,桂林三金,9900007027
002276,万马股份,9900007107
002277,友阿股份,9900007247
002278,神开股份,9900007787
002279,久其软件,9900000821
002280,联络互动,9900007887
002281,光迅科技,9900007888
002282,博深股份,9900007908
002283,天润工业,9900007907
002284,亚太股份,9900007913
002285,世联行,9900007914
002286,保龄宝,9900007927
002287,奇正藏药,9900007928
002288,超华科技,9900007947
002289,宇顺电子,9900007948
002290,禾盛新材,9900007968
002291,遥望科技,9900007969
002292,奥飞娱乐,9900007988
002293,罗莱生活,9900008009
002294,信立泰,9900008010
002295,精艺股份,9900008168
002296,辉煌科技,9900008169
002297,博云新材,9900008207
002298,中电兴发,9900008208
002299,圣农发展,9900008409
002300,太阳电缆,9900008410
002301,齐心集团,9900008467
002302,西部建设,9900008615
002303,美盈森,9900008616
002304,洋河股份,9900008689
002305,南国置业,9900008690
002306,中科云网,9900008769
002307,北新路桥,9900008770
002308,威创股份,9900008970
002310,东方园林,9900009031
002311,海大集团,9900009032
002312,川发龙蟒,9900009110
002314,南山控股,9900009112
002315,焦点科技,9900009170
002317,众生药业,9900009189
002318,久立特材,9900009190
002319,乐通股份,9900009191
002320,海峡股份,9900009333
002322,理工能科,9900009448
